Name,Type,Key Points,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Sources
Mycobacterium tuberculosis,Bacteria,Airborne transmission-N95 and airborne precautions recommended; greatest prevalence in developing countries (common in crowded areas); major source of morbidity and mortality in patients with AIDS,Strict aerobe; Grows slowly in culture; MDR (resistant to at least 2 first-line drugs) and XDR (MDR + resistant to at least 2 second-line drugs) are a major concern,Does not gram stain,Acid-fast; Bacillus,"Positive PPD test (false-positives with previous BCG vaccination); Chest X-ray, Positive Interferon gamma assay","RIPE (rifampin, isoniazid, pyrazinamide, ethambutol)",Isoniazid (prophylaxis for those converting from negative to positive PPD); BCG vaccine (will trigger false-positive on PPD test),Tuberculosis; Addisons (primary adrenal insuffiency); Potts url:https://en.m.wikipedia.org/wiki/Pott_disease,Upper lobe cavitary lesion,
Mycoplasma pneumoniae,Bacteria,,"Cause of atypical pneumonia, especially in school children, young adults in close proxmity, and elderly",No cell wall; do not gram stain,"Pleomorphic; ""fried egg"" colonies; small bacteria","Serology, cold agglutination; Laboratory growth requires serum","Tetracycline, macrolides",,Atypical pneumonia,Variable; can range from walking pneumonia to sever infection,
Mycoplasma genitalium,Bacteria,,No cell wall,Does not gram stain,"""fried egg"" colonies",NAAT; Anaerobically on solid agar plates,,,Urethritis; Endometritis; Salpingitis; Pelvic inflammatory disease (PID),,
Neisseria gonorrhoeae,Bacteria,Causative agent of gonorrhea; Common cause of conjunctivitis in neonates; Often coinfection with chlamydia,,Gram negative,Diplococcus,Chocolate agar; Thayer-Martin agar; PCR; NAAT,Pelvic: Ceftriaxone (add azythro/doxy to cover chlamydia); Eye: Ceftriaxone,Eye: Topical erythromycin or tetracycline,Gonorrhea; Pelvic inflammatory disease (PID); Conjunctivitis - ophthalmia neonatorum; Cervicitis; Endometritis; Salpingitis; Urethritis; Epididymitis; Proctitis; Disseminated Gonococcal Infection,"Yellow mucopurulent discharge; polyuria; dysuria; Curtis-Fitz-Hugh syndrome; Disseminated - dermatitis, arthritis, endocarditis",
Neisseria meningitidis,Bacteria,Important cause of meningitis in adolescents and young adults,Antiphagocytic capsule - 13 serogroups,Gram negative,Diplococcus,Oxidase positive - cytochrome C oxidase = blue; Requires blood and 5-10% CO2 for growth; Chocolate agar,Antibiotics depend on site; Penicillin; Third generation cephalosporins (eg ceftriaxone); Chloramphenicol; Treatment of shock; Steroids,"MCV4 Vaccine - tretravalent conjugate vaccine; Cipro, ceftriaxone, or rifampin prophylaxis for close contacts",Meningitis; Meningococcemia,Petechiae and/or purpura; Waterhouse-Friderichsen syndrome; Hemorrhagic rash; Meningismus; Impaired consciousness,
Nocardia,Bacteria,Found in soil,Aerobe,Gram positive,"Long, branching filaments",Acid fast,Sulfonamides,,Pulmonary infections in immunocomprimised (cavitary),Purulent sputum,
Norovirus,Virus,"Quick spread in close quarters - cruise ships, daycare, etc",Gastroenteritis,,Non-enveloped; Icosahedral,RT-PCR; Antigen detection,Rehydration,Proper food handling and sanitation,Food Poisoning,Vomiting; Diarrhea,
Opisthorchis,Fluke,Ingestion of raw fish,,,,,,,Cholangiocarcinoma,,
Parvovirus B19,Virus,,Non-enveloped DNA virus; replicates in erythroblasts,,,,,,Fifth disease; Aplastic crisis in sickle cell; Fetal hydrops/abortion in pregnancy; polyarthritis,Slapped cheek - maculopapular rash,
Pasteurella multocida,Bacteria,,Dog and cat bites,Gram negative,Coccobacillus,Facultative aerobe,,,Cellulitis,,
Pinworm,Nematode,,Also see Enterobius vermicularis; Common benign parasite in childhood; Active at night,,,Scotch tape test,Albendazole (also treat family),,,Nocturnal anal pruritis (itching),
Plasmodium falciparum,Protozoa,Causative agent of malaria; Anopheles mosquito vector,Sequestration url:https://drive.google.com/open?id=0B--fNq9GhKcdNjZIQWVrYlVMU0U,,Banana url:https://drive.google.com/file/d/0B--fNq9GhKcdb1RmNXo2OElQTk0/view?usp=sharing; Headphones url:https://drive.google.com/file/d/0B--fNq9GhKcdd0QyeDQ0VFVjN28/view?usp=sharing,Microscopy (thick and thin); Rapid Diagnostic Test (RDT) url:https://www.cdc.gov/malaria/diagnosis_treatment/rdt.html,Quinolones; Artemisins,Prevent mosquito bites,Malaria,,
Plasmodium knowlesi,Protozoa,Malaria in macaque monkeys or humans; Anopheles mosquito vector,,,,,,"Prevent mosquito bites; Mefloquine, Chloroquine",Malaria,,
Plasmodium malariae,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Plasmodium ovale,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Plasmodium vivax,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Pneumocystis jirovecii (PCP),Fungus,AIDS defining; CD4 < 200,Fungus ubiquitious in environment; lacks ergosterol in cell membranes-traditional antifungals ineffective,,Crushed ping pong balls url:https://library.med.utah.edu/WebPath/jpeg2/AIDS008.jpg,GMS (silver) stain,TMP-SMX; Dapsone; Atovaquone; IV pentamidine; add corticosteroids if pO2<70mmHg or Aa gradient > 35,TMP/SMX; aerosolized pentamidine; Dapsone; atovaquone,Pneumonia,"Fever, nonproductive cough, substernal cehst catching or tightness, progressive SOB; ground glass appearance on CXR",
Poliovirus,Virus,Largely eliminated in most of world due to vaccination,Picornavirus; (+) ss-RNA; Humans only susceptible host; 3 serotypes,,Non-enveloped; Icosahedral,,,"Salk (IPV): formalin inactivated; Sabin (OPV): oral, live attenuated",Meningitis; Polio,Flaccid paralysis; Respiratory paralysis and death,
Porphyromonas gingivalis,Bacteria,"Associated with diabetes mellitus, cardiovascular diseases, adverse pregnancy outcomes",,,,,,,Periodontitis,,
Powassan,Virus,,Flavivirus,,Enveloped,Serology,,,Encephalitis,Flu-like symptoms; Fever; Rash; Aches; Chills,
Prion,Infectious protein,,"Highly resistant to inactivation; Transmission: genetic, iatrogenic, ingestion",,,,Supportive,,Kuru; Creutzfeldt-Jakob disease; Gerstmann-Streussler-Shanker disease; Fatal famililal insomnia variant Creutzfeldt-Jakob disease,Dementia; Myoclonus; Extrapyramidal and pyramidal signs; Aphasia/apraxia/agnosia; Visual loss,
Propionibacterium acnes,Bacteria,,Aerotolerant anaerobe; non-spore former,Gram positive,Rod,,Comedones: Topical retinoids; Inflamed comedones: Add benzoyl peroxide; Severe: Doxycycline; Refractory: Isotretinoin (pregnancy test first),,Acne; infection of prosthetic devices,,
Proteus mirabilis,Bacteria,Common UTI pathogen; can cause kidney stones (struvite),,Gram negative,Rod,Urease positive (alkaline urine); Swarming motility in culture; Lactase negative; Indole negative; H2S positive,,,Urinary tract infection (UTI),,
Pseudomonas aeruginosa,Bacteria,Common opportunistic pathogen; prevalent in immunocompromised patients and those with cystic fibrosis; smells like grapes,"Strict aerobes; Ubiquitous in environment (especially water); Can survive in harsh conditions, including hospital settings",Gram negative,Rod; Flagellated; Prominent biofilm production,Oxidase positive; Catalase positive; Pyocyanin pigment production; Lactase negative; Growth on MacConkey agar,"Resistance to many antibiotics; typically treat with anti-pseudomonal penicillin (Piperacillin-tazobactam) or cephalosporin (ceftazadime, cefepime) + aminoglycoside (amikacin, tobramycin, gentamicin) or fluoroquinoline (ciprofloxacin)",Adherence to infection control standards; inhaled tobramycin or aztreonam or oral azithromycin (for those with persistent infection),"Otitis externa (""swimmer's ear""); Folliculitis; Pneumonia in cystic fibrosis patients; Osteomyelitis (penetrating)",,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 221-227"
Rabies,Virus,Bullet-shaped; Negri bodies,Rhabdovirus; (-) ssRNA,,Enveloped; Bullet-shaped,Staining of brain; Direct fluorescence antibody stain,Wound cleansing; Human Rabies immune globulin; Rabies vaccination,Vaccine,Acute encephalitis,"Fever, headache, tingling, pain, itching at bite site; Hyperactivity, throat spasm, hydrophobia, hypersalivation, delirium, coma, death",
Respiratory Syncytial Virus,Virus,Most important cuase of lower respiratory tract disease in young children,Pneumovirus,,,,,Palivizumab,Bronchiolitis; Pneumonia,,
Rhinovirus,Virus,"Most common cause of upper respiratory infections; cause of ""common cold""",Picornavirus,,,Serology; most diagnosis based on history,Supportive (disease largely self-limited),Hygiene practices (e.g. hand washing),"Upper Respiratory Infection (""Common cold"")",,
Rickettsia rickettsii,Bacteria,SE United States; Tick born,,Gram negative,Coccobacillus,,Doxycycline; Ceftriaxone (meningitis),,Rocky Mountain Spotted Fever (RMSF); Meningitis,Rash starts on wrists and ankles and spreads centrally and to palms and soles,
Rotavirus,Virus,Most common cause of infantile diarrhea; Predominantly affects children < 2 years,Segmented dsRNA genome; Infects enterocyes of small intestinal villi,,Non-enveloped; Icosaheadral,Serology; ELISA (stool); RT-PCR,Supportive (disease largely self-limited),Vaccines available,Winter Diarrhea,Nausea/vomting; Watery diarrhea; Loss of appetite,
Rubella,Virus,toRch infection,Togavirus; ssRNA (+),,Enveloped,"Serology, culture",,MMR vaccine,German measles; Congenital cataracts; Sensorineural hearing loss; PDA,Prodrome: generalized tender lymphadenopathy; Rash spreading from face to body (blueberry muffin spots) - maculopapular rash,
Salmonella enterica,Bacteria,"Associated with raw eggs, chicken, ice cream",,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar); H2S positive,,,,,
Salmonella enteriditis,Bacteria,"Pet turtles, reptiles, ducks, chickens",,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar),,,Food poisoning; Enterocolitis,"Abrupt onset; Low fever; Nausea, vomiting, diarrhea",
Salmonella typhi,Bacteria,Causative agent of typhoid fever,,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar),Fluoroquinolones; Ceftriaxone; Azithromycin; Screen for vulnerablity due to emerging antibiotic resistance,Whole cell killed; Live attenuated (Ty21A); Purified Vi capsule vaccines,"Typhoid fever; Osteomyelitis (sickle cell); Hepatitis; Cholecystitis; Pyelonephritis; Delirium, coma, deafness, meningitis",Early constipation; Later bloody diarrhea,
Sarcoptes scabiei,Mite,,,,,,Topical permethrin; Oral ivermectin,,Scabies,"Intensely pruritic rash between fingers, on beltline, or other skin creases",
Schistosoma spp,Fluke,Freshwater snails (waters of Egypt),"Blood-fluke, parasitic flatworm",,Haematobium: Single spine on end url:https://upload.wikimedia.org/wikipedia/commons/f/f2/Schistosoma_haematobium_egg_4843_lores.jpg; Mansoni: Single lateral spine url:https://upload.wikimedia.org/wikipedia/commons/9/9a/Schistosoma_mansoni_egg_4841_lores.jpg,,Praziquantel,,Schistosomiasis url:https://en.wikipedia.org/wiki/Schistosomiasis; Bladder cancer,Bloody diarrhea; Hematuria,
Shiga Toxin-producing Escherichia coli (STEC),Bacteria,Similar to EHEC,Food poisoning; Crowded places,Gram negative,Rod,,,,Hemorrhagic colitis; Hemolytic uremic syndrome,,
Shigella boydii,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella dysenteriae,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella flexnerii,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella sonnei,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Smallpox,Virus,Bioterrorism agent;,Poxvirus,,,Gentian violet - Guarnieri bodies; electron microscopy; egg inoculation; PCR,,Smallpox vaccine (modified vaccinia virus ankara),Smallpox,"Smallpox rash - lesions which involve palms and soles and are denser on face, arms, hands, legs, and feet than body",
Sporothrix schenkii,Fungus,Ascending infection of skin along path of lymphatics,Fungal spores introduced through cutaneous cuts and abrasions,,Cigar-shaped yeast; Dimorphic; Hyphae thin and branched,,"Itraconazole, Saturated solution of potassium iodide",,"""Rose Gardener's Disease"" or lymphocutaneous sporotrichosis; Osteomyelitis (gardening)",,
St. Louis encephalitis virus,Virus,,Flavivirus,,Enveloped,Serology,,,Encephalitis,"Flu-like symptoms; Fever, rash, aches, chills",
Staphylococcus aureus,Bacteria,"Most common cause of skin infections, food poisoning, and osteomyelitis; MRSA strain common and problematic in health-care settings; commonly found in cystic fibrosis (lung colonization)",Common skin flora; Protein A on surface neutralizes antibodies; produce several types of endotoxins; Staphylococcal Enterotoxin A (and E-I) cause food poisoning,Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase positive,"MSSA treated with Nafcillin, Cefazolin, Oxacillin; MRSA resistant to most beta-lactam drugs and treated with Vancomycin, TMP-SMX, Clindamycin, Linezolid; Necrotizing fasciitis: 3rd generation cephalosporin + clinda + ampicillin",,Otitis externa; Osteomyelitis (most common); Skin infections; Food poisoning; Necrotizing fasciitis; Community acquired pneumonia (CAP) plus post-viral,,
Staphylococcus epidermidis,Bacteria,Classically infects implanted devices,,Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase negative,,,Implanted devices,,
Staphylococcus saprophyticus,Bacteria,,,Gram positive,Cocci in clusters,,,,UTIs,,
Streptococcus agalactiae,Bacteria,Most common cause of neonatal meningitis,Group B streptococci; Virulence factor = capsules,Gram positive,"Cocci, in chains",Catalase negative; Beta-hemolytic and bacitracin insensitive; CAMP test positive,,During labor: IV Penicillin G; Ampicillin,Meningitis; Cellulitis; Septicemia; Pneumonia,,
Streptococcus mutans,Bacteria,,Dental plaque,Gram positive,Cocci,,,,Dental caries,,
Streptococcus pneumoniae,Bacteria,Important cause of meningitis in infants/children and older adults; Classic respiratory bug,Major cause of typical community-acquired infections and otitis media,Gram positive,Lancet-Shaped Diplococci,Alpha-hemolytic; Optochin senstive; Bile soluble,Antibiotics (screen for sensitivity-many resistant to penicillin),Pneumococcal conjugate vacicne,Acute otitis media (AOM); Pneumococcal pneumonia; Meningitis; Upper respiratory infection (URI),,
Streptococcus pyogenes ,Bacteria,"Cause of ""Strep throat""; Common cause of necrotizing fasciitis","Group A strep (GAS); Group A, Beta-Hemolytic Strep (GABHS)",Gram positive,Cocci,Beta-hemolytic; Bacitracin-sensitive,Penicillin; Necrotizing fasciitis: 3rd generation cephalosporin + clinda + ampicillin,Hygiene practices,"Tonsillitis (""Strep Throat""); Rheumatic Fever; Post-streptococcal glomerulonephritis; Scarlet fever (2 days after pharyngitis, sandpaper rash, strawberry tongue); Impetigo; Necrotizing fasciitis; Erysipelas url:https://img.medscapestatic.com/pi/meds/ckb/27/27527.jpg",,
Streptococcus viridans,Bacteria,,"Dental carries; Subtypes: Sanguinis, mitis, oralis, mutans, sobrinus, milleri",Gram positive,Cocci,Alpha-hemolytic; Optochin resistant; Bile insoluble,,,,,
Strongyloides stercoralis,Nematode,Exacerbated by immunosuppressive therapy,,,,,,,,,
Taenia saginatum,Cestode,Associated with undercooked beef,,,,,Praziquantel or albendazole,,,,
Taenia solium,Cestode,Associated with raw pork,,,,,Praziquantel or albendazole,,Neurocysticercosis,,
Toxoplasma gondii,Protozoa,Found in cat feces and raw/undercooked meat; Avoid in pregnancy (Torch infection); AIDS defining; CD4 < 100,Obligate intracellular,,,IgG toxoplasma antibody; numerous ring-enhancing lesions (particularly in basal ganglia) on CT/MRI,"Pyrimethamine, Sulfadiazine, and Folate x1 year; TMP-SMX or atovaquone (HIV with CD4 < 100); leucovorin",TMP/SMX,Toxoplasmosis; Macrocephaly; Chorioretinitis,"Diffuse intracranial calcifications (ring enhancing lesions); hydrocephalus; lethargy, seizures, altered mental status, localized weakness",
Treponema pallidum,Bacteria,Disease presents in 3 stages with significant latency period; Advanced cases associated with neurologic sequelae; tOrch infection,,Does not gram stain,Spirochete,"Serology (non-treponemal - VDRL, RPR - and treponemal - FTA-ABS, TP-PA); extremely difficult to grow in culture; darkfield microscopy, DFA-TP, silver stains",Penicillin,Safe sex practices; STI screening,Syphilis,"Stage 1: Painless chancre sore; Stage 2: rash progressing from trunk to entire body (often involve palms and soles), mucous patches, condylomata lata; Can enter latent (dormant) phase following Stage 2; Stage 3: organ damage, neurological symptoms (signs of posterior column deterioration) - syphilitic aortitis, neurosyphilis, meningovascular syphilis, tabes dorsalis, general paresis, optic atrophy, gummas; Children: Hutchinson teeth, deafness, periostitis, snuffles; Jarisch–Herxheimer reaction common with treatment (systemic inflammatory response resembling sepsis) (note: will fix link with next update https://en.m.wikipedia.org/wiki/Jarisch–Herxheimer_reaction)",
Trichinella spiralis,Nematode,Associated with raw pork,,,,,,,,,
Trichomonas vaginalis,Protozoa,,Aerotolerant anaerobe,,,"Motile, flagellated organisms on microscopy, wet mount",Metronidazole,Safe sex (condoms),Trichomoniasis (STI); Vaginitis,Frothy green vaginal discharge; Foul-smelling odor; Strawberry cervix,Wikipedia url:https://en.wikipedia.org/wiki/Trichomonas_vaginalis
Trichophyton rubrum,Fungus,,,,,,"Topical antifungal (terbinafine, clotrimazole)",,Tinea corporis (ringworm),,
Tropheryma whippelii,Bacteria,,,Gram positive,Bacillus,Intestinal biopsy with PAS-positive macrophages,,,Whipple's disease (farmers),Malabsorptive diarrhea; Migratory non-deforming arthritis,
Trypanosoma cruzi,Protozoa,,Kissing bug; South America,,,,,,Chagas Disease,Myocarditis; Dilated cardiomyopathy/esophagus/colon; Romana's sign (unilateral periorbital swelling),
Varicella Zoster Virus,Virus,,Causes Shingles and Chicken Pox,,"DNA Virus, Enveloped",Tzanck smear shows multinucleated giant cells,"Famciclovir for shingles; Ayclovir for children 12+, adults, and immunocompromised",Vaccination,Chicken Pox; Shingles; Encephalitis; Pneumonia,Fever; Headache; Vesicular lesions (think dew drops on a rose petal) url:https://4.bp.blogspot.com/-h6SRM2-8VWQ/TwChsh8W6EI/AAAAAAAAAOc/InmymMowONE/s1600/dewonrosepetal.jpg,
Venezuelan Equine Encephalitis (VEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Encephalitis,Flu-like symptoms,
Vibrionaceae cholerae,Bacteria,"Comma-shaped rod; Can cause profuse, life-threatening diarrhea",GI effects due to enterotoxin that constitutively activates adenyl cylcase,Gram negative,Rod (comma-shaped),Glucose fermenter; Oxidase positive,Oral rehydration salts; Ringers lactate for IV therapy,Killed whole cell; Live attenuated vaccines,Cholera,"Rice water stool; Peripheral pulses absent, decreased blood pressure, sunken eyes, poor skin turgor, hyperventilation, muscle cramps",
Vibrionaceae parahaemolyticus,Bacteria,Comma-shaped rod; Associated with raw oysters/shellfish and contaminated water,Often contaminated oysters,Gram negative,Rod (comma-shaped),Glucose fermenter; Oxidase positive,,,,"Acute watery diarrhea, occasionally with blood; Severe cramping, abdominal pain, vomiting",
Vibrionaceae vulnificus,Bacteria,,,Gram negative,Rod (comma-shaped),,,,Osteomyelitis (oysters or cirrhosis),,
West Nile virus,Virus,Mosquito vector with bird host; High index of suspicion for sudden onset of encephalitis in adults >50 y.o. during summer/fall,Flavivirus; ssRNA,,Enveloped,ELISA for IgM in serum or CSF,"Supportive; hospitalization, fluids, respiratory support",,West Nile fever,"Mild infection: sudden onset febrile illness, malaise, nausea and vomiting, headache; Severe infection: fever, weakness, rash on neck, trunk, arms, legs, myelitis, ataxia, seizures, optic neuritis, changes in mental status",
Western Equine Encephalitis (WEE),Virus,,Togavirus (alphavirus),,Enveloped,Serology,,Vaccine,Encephalitis,Flu-like symptoms,
Yellow fever virus,Virus,Endemic to South America and sub-Saharan Africa; mosquito vector,Flavivirus; ssRNA,,,Serology,,Live attenuated vaccine (17D),Yellow fever,"Chills, fever, headache, generalized myalgias, GI complaints; GI hemorrhage",
Yersinia enterocolitica,Bacteria,,Grows well at room temperature and 4°C,Gram negative,Rod,Lactose fermenter,,,Enterocolitis; Reiter's syndrome; mesenteric lymphadenitis,"Fever, abdominal pain, inflammatory diarrhea",
Yersinia pestis,Bacteria,Potential bioterrorism agent; endemic in rats and prarie dogs but only sporadic human cases; causative agent of plague,"Spread by fleas; Classical form (bubonic plague) results in formation of painful buboes (commonly in inguinal, axial, or cervical region)",Gram negative,Coccobacillus (safety-pin appearance),Grows well on MacConkey Agar; Wayson staining - light blue bacilli with dark blue polar bodies,,,Bubonic plague; Pneumonic plague (likely with bioterrorism attack); septicemic plague,,
Yersinia pseudotuberculosis,Bacteria,,Grows well at room temperature and 4°C,Gram negative,Rod,Nonlactose fermenter,,,Enterocolitis; Reiter's syndrome; mesenteric lymphadenitis,"Fever, abdominal pain, inflammatory diarrhea",
Zika virus,Virus,,Flavivirus; ssRNA,,Enveloped,"Serology, RT-PCR",,"Prevent mosquito bites; Restrict travel, blood donations, sperm donations","Encephalitis; Microcephaly, intracerebral calcifications, hearing loss, vision abnormalities, lissencephaly, pachygyria, ventricular enlargement, arthrogryposis, muscular atrophy","Rash, fever, arthralgia, headache, myalgia; maculopapular rash; conjunctivitis",
